stock,log-likelihood,aic,bic
1,-18756.928662263097,37523.857324526194,37558.7933086295
2,-16708.210246517636,33426.42049303527,33461.35647713858
3,-16265.90881791967,32541.81763583934,32576.75361994265
4,-16469.955592356448,32949.911184712895,32984.8471688162
5,-14564.490067437397,29138.980134874793,29173.916118978104
6,-15594.37496571297,31198.74993142594,31233.68591552925
7,-16057.396117841141,32124.792235682282,32159.728219785593
8,-14922.007209514217,29854.014419028434,29888.950403131745
9,-17698.16951391299,35406.33902782598,35441.27501192929
10,-13151.943696320779,26313.887392641558,26348.82337674487
11,-17087.46276402723,34184.92552805446,34219.86151215777
12,-13354.073174738221,26718.146349476443,26753.082333579754
13,-14062.476586909163,28134.953173818325,28169.889157921636
14,-13686.29292617586,27382.58585235172,27417.52183645503
15,-14806.644650583203,29623.289301166405,29658.225285269717
16,-16262.699643964525,32535.39928792905,32570.33527203236
17,-16233.270326801872,32476.540653603744,32511.476637707055
18,-15011.926319110444,30033.852638220887,30068.7886223242
19,-13217.272579248176,26444.545158496352,26479.481142599663
20,-15072.692299757626,30155.38459951525,30190.320583618563
21,-14631.551067493105,29273.10213498621,29308.03811908952
22,-14127.18785009093,28264.37570018186,28299.31168428517
23,-15473.741182726935,30957.48236545387,30992.41834955718
24,-14517.419084243975,29044.83816848795,29079.77415259126
25,-14151.833717928726,28313.667435857453,28348.603419960764
