stock,mu,w_1,w_2,w_3,log-likelihood,AIC,BIC
1,-0.437393784727447,0.954494330122858,0.954494214150699,-1.40880688380399,-18497.5411579101,37003.0823158202,37031.0311031028
2,0.459893063121877,-0.755898139167158,1.11462930365505,-0.755880087534884,-16626.1819463931,33260.3638927861,33288.3126800688
3,0.545772689918057,-0.752587504390826,1.01349461416709,-0.752587683852961,-16291.5228613007,32591.0457226014,32618.9945098841
4,0.511815921138598,-0.763784174765926,1.0800198739867,-0.763784128856011,-16602.1140341138,33212.2280682275,33240.1768555102
5,0.533879708232811,-0.636917167971631,0.784984196240238,-0.636917304982104,-14660.7862444968,29329.5724889935,29357.5212762762
6,0.401625905981059,-0.668140726732857,0.980976667999574,-0.668140889821624,-15656.2101205253,31320.4202410505,31348.3690283332
7,0.471966917838758,-0.703704603943604,1.0231290416726,-0.703704266859097,-16034.2491587012,32076.4983174024,32104.447104685
8,0.400320907846077,-0.622692504675167,0.888377349797762,-0.622695445572447,-14978.1157776195,29964.231555239,29992.1803425216
9,0.585029713578831,-0.874445297891106,1.26109054610036,-0.874445828270481,-17730.9984934992,35469.9969869984,35497.9457742811
10,0.289780623240298,-0.482718807006588,0.727404239492636,-0.482718827754875,-13169.2304709813,26346.4609419625,26374.4097292452
11,0.380281366596625,-0.659849516444886,1.20540848044605,-0.85534239444942,-16935.5260619082,33879.0521238164,33907.0009110991
12,0.327887230042347,-0.509706131479307,0.732217125513247,-0.509706622009448,-13413.3978878736,26834.7957757471,26862.7445630298
13,0.431045991287776,-0.574644084828449,0.771794130194815,-0.574644308677159,-14126.4088406461,28260.8176812922,28288.7664685748
14,0.293303961866517,-0.425593780706305,0.781021569876862,-0.606518528544491,-13761.0450975434,27530.0901950867,27558.0389823694
15,0.404258115385163,-0.615422557838233,0.872808894003575,-0.61542267036183,-14899.3014364475,29806.6028728949,29834.5516601776
16,0.361355333438355,-0.688303792368688,1.11729309387513,-0.688303989130158,-16294.3513535838,32596.7027071677,32624.6514944503
17,0.48944709379607,-0.728909581735353,1.05244805275806,-0.728910260567089,-16257.0691818391,32522.1383636782,32550.0871509608
18,0.349006233351149,-0.61405786528833,0.932502791731258,-0.614057799925428,-15137.1497286532,30282.2994573064,30310.2482445891
19,0.295432710784681,-0.433714774791343,0.722325259106868,-0.535509615231007,-13167.5374285999,26343.0748571998,26371.0236444825
20,-0.27985876143297,0.60449382162781,-0.885684957955422,0.60449337459385,-14849.2965575909,29706.5931151817,29734.5419024644
21,0.42359689045174,-0.603156169744166,0.831791081001276,-0.603156557664902,-14581.2744574433,29170.5489148865,29198.4977021692
22,0.413867916413889,-0.581389388279777,0.778385356026777,-0.581389384788223,-14201.7686865021,28411.5373730042,28439.4861602868
23,0.336833680866267,-0.638789678607204,0.997888303445612,-0.638789931643038,-15549.9914302491,31107.9828604981,31135.9316477808
24,0.462799720714422,-0.616072402614223,0.815528325211785,-0.616072598827994,-14601.3864037038,29210.7728074076,29238.7215946903
25,0.428681664268279,-0.58665414995788,0.784293833025216,-0.58665384332853,-14290.2545216637,28588.5090433275,28616.4578306101
