stock,log-likelihood,aic,bic
1,-18241.49910303776,36498.99820607552,36554.895780640814
2,-16096.057018362551,32208.114036725103,32264.0116112904
3,-16176.39426791339,32368.78853582678,32424.68611039208
4,-16430.558002653383,32877.116005306765,32933.01357987206
5,-14161.77338290943,28339.54676581886,28395.444340384158
6,-15088.609717893982,30193.219435787963,30249.11701035326
7,-15663.91267468696,31343.82534937392,31399.722923939218
8,-14717.562780422837,29451.125560845674,29507.02313541097
9,-17362.274757862433,34740.549515724866,34796.44709029016
10,-12772.901871002645,25561.80374200529,25617.701316570587
11,-16516.946478282487,33049.892956564974,33105.79053113027
12,-12858.93657751639,25733.87315503278,25789.770729598076
13,-14000.032685983506,28016.06537196701,28071.96294653231
14,-13640.909416619874,27297.818833239748,27353.716407805045
15,-14357.69068092465,28731.3813618493,28787.278936414597
16,-16183.826037357552,32383.652074715104,32439.5496492804
17,-16159.362060193615,32334.72412038723,32390.621694952526
18,-14524.606127620262,29065.212255240524,29121.10982980582
19,-13063.586614038475,26143.17322807695,26199.070802642247
20,-14823.484259842462,29662.968519684924,29718.86609425022
21,-14013.086426951984,28042.17285390397,28098.070428469266
22,-13535.685829216884,27087.371658433767,27143.269232999064
23,-14719.88487330385,29455.7697466077,29511.667321172998
24,-13835.223216173163,27686.446432346325,27742.344006911622
25,-13673.099545449852,27362.199090899703,27418.096665465
