stock,pi1,pi2,mu1,mu2,sigma1,sigma2
1,0.059207927396362686,0.9407920726036374,-0.7278502033149045,0.08318937900158328,9.364402983731114,2.1015900811423025
2,0.7679286467591562,0.23207135324084383,0.06921873643296365,-0.14633570069116392,1.2671162148726018,4.001048004431141
3,0.10892182327489994,0.8910781767251,-0.3375886371267296,0.05870071826617075,4.903486738647258,1.4385971300033893
4,0.2017351392551751,0.7982648607448248,-0.10920579133239619,0.06510825734182288,3.5617279207219603,1.3982553946056213
5,0.0758190432146411,0.9241809567853588,-0.2847410708523861,0.048768204036152826,4.1303949474851684,1.253238032998361
6,0.8313325515434897,0.16866744845651024,0.027452554042839212,-0.00048331010432316115,1.2498084384375432,3.6413585321033164
7,0.18973029224246132,0.8102697077575386,-0.079992084914851,0.08103618065608123,3.784241822344271,1.2745399228581478
8,0.1978564279569869,0.8021435720430131,-0.09161526726982049,0.042451861253762706,3.2596955328549115,1.0888027640014295
9,0.8383354888980136,0.16166451110198635,0.08115265242415225,-0.26350655482428853,1.656975918582288,4.687521574662762
10,0.7008404719400403,0.2991595280599597,0.044680929464883966,0.02276251242618747,0.8048949676984949,2.1532481477344927
11,0.18778401362953834,0.8122159863704618,-0.0336865938904052,0.033454804934126656,4.6251404562187535,1.4004811375209671
12,0.7821368311760383,0.21786316882396176,0.043908015703035236,-0.02479979523408779,0.8909950125479968,2.512081967619332
13,0.16603123580034712,0.8339687641996529,0.02858549426691644,0.039554464879319025,2.9236017005857455,1.0519316356036088
14,0.19111390662383507,0.8088860933761649,-0.12452796213608551,0.0634215412615765,2.7320068283488244,0.9588044996690086
15,0.09990645763875854,0.9000935423612415,-0.3269837779939179,0.05986048942000082,3.908724441492955,1.2420659236696294
16,0.7714046963679483,0.22859530363205172,0.07527940545640749,0.01898770150282555,1.2929944221038372,3.4593057211353395
17,0.20395579713427,0.79604420286573,0.08531548008758544,0.038181047825673074,3.7699675749440957,1.2803715013221475
18,0.7301012375393843,0.2698987624606157,0.025803477691463038,0.04778913297510661,1.0901016810013202,2.6987063758323697
19,0.11396752652725148,0.8860324734727485,-0.09633615403294175,0.05054170137711872,3.322428939375372,0.9754026867414659
20,0.06135236322532102,0.938647636774679,-0.5951783807335013,0.06263472618495101,5.98564668269841,1.3148826729116623
21,0.8487329884426957,0.1512670115573043,0.04927763341347541,-0.11174515413899978,1.0846166285780883,3.6949585387872075
22,0.7624211964532893,0.23757880354671065,0.02458744522000925,-0.013497792914378573,0.9901204072292492,2.5783308718853597
23,0.1730205042346434,0.8269794957653566,-0.004794978413909547,0.03041247130575908,3.3889412244914774,1.2561934303787696
24,0.7684964986256317,0.2315035013743683,0.02483749752805436,0.05489258447878276,1.0231027465227438,2.810780440286336
25,0.12150578886919587,0.8784942111308042,-0.18408491921279835,0.049348985509908856,3.2555728757979954,1.1240789416081405
