stock,mu,w_1,w_2,w_3,w_4,w_5,log-likelihood,AIC,BIC
1,0.359121673720641,-0.492979923596711,0.723607827573521,-0.492953919280344,1.10142415567858,-1.11165738589502,-18481.9612602081,36975.9225204162,37017.8457013402
2,-0.012858570737611,-0.398896627037959,0.576939337352828,0.00246279315743939,0.866830155117683,-1.01392311531326,-16556.9586149005,33125.9172298009,33167.8404107249
3,0.309553521534076,0.51834368421598,-0.403249039804352,-0.403272681047139,0.83109799118273,-0.801706065574525,-16163.8198931838,32339.6397863676,32381.5629672916
4,0.239792939355727,-0.405662632844938,0.722871834052451,-0.405703236835336,0.722812563086149,-0.819597540349595,-16449.1393975945,32910.278795189,32952.2019761129
5,0.305018901332832,0.477069788373513,-0.584726620926577,0.611996991085641,-0.382578658341207,-0.382568800133814,-14490.9964597697,28993.9929195395,29035.9161004635
6,0.227217740702365,0.462978129683508,-0.760100264390615,0.800074193703743,-0.344907041686324,-0.344934120508272,-15544.342819447,31100.685638894,31142.608819818
7,0.30497049829104,0.485992415447012,-0.792694917953603,0.829176505182878,-0.373731500743711,-0.372590809319042,-15930.6004053088,31873.2008106176,31915.1239915416
8,0.27946702046288,0.352804889179839,-0.726018789322776,0.766103556702229,-0.316414808516361,-0.316409297958119,-14886.1587209481,29784.3174418961,29826.2406228201
9,0.385609528323226,-0.483050566626143,0.661143366424646,-0.482753724738059,0.96491767604384,-0.979220051582893,-17665.5600110816,35343.1200221632,35385.0432030872
10,0.16172644300794,0.390344179685389,-0.564885517967906,0.549804146749471,-0.243415411120534,-0.243222976972404,-13069.9036698472,26151.8073396945,26193.7305206184
11,0.298969141298802,-0.348296037521783,0.379158917408637,-0.348298997650976,1.05270052678196,-0.986865701748951,-16889.5957641297,33791.1915282594,33833.1147091834
12,0.223423851106424,0.331158954672062,-0.59526997803225,0.600698029950511,-0.261248277790833,-0.261245287373808,-13322.089981286,26656.179962572,26698.103143496
13,0.301200761139792,0.367489898032309,-0.582174847878752,0.643575355811208,-0.338843848079076,-0.338850702570864,-14014.6021184284,28041.2042368568,28083.1274177808
14,0.218124852384074,0.367813924875336,-0.645287185090313,0.60677527384463,-0.253672962762147,-0.253646895171034,-13654.7672521252,27321.5345042504,27363.4576851744
15,0.191659189329694,0.581329512363267,-0.68644071365502,0.581347257543206,-0.313276000081178,-0.313274963864253,-14746.4976308099,29504.9952616199,29546.9184425438
16,0.1498253187221,0.693950732511423,-0.328425258616782,-0.327109204107238,0.737084176705324,-0.839107437558391,-16174.4104405119,32360.8208810238,32402.7440619477
17,0.213928528674479,0.467974576060946,-0.33953813001963,-0.339560754000361,0.912049235173943,-0.838655818391746,-16160.8429347439,32333.6858694877,32375.6090504117
18,0.164593957707433,0.608678586193402,-0.68557100615154,0.60873396203169,-0.324978573023775,-0.324999237114814,-14984.6203359913,29981.2406719827,30023.1638529067
19,0.148168297928903,0.381830434159303,-0.585783625120578,0.55497912225152,-0.226018178346476,-0.226016339925987,-13055.4147221679,26122.8294443358,26164.7526252598
20,0.146045332510106,0.50492669460449,-0.742535672416158,0.666057255949469,-0.262674465191616,-0.262672500279507,-14778.6188470596,29569.2376941191,29611.1608750431
21,0.296543513943469,0.298329519312483,-0.717796010177653,0.74726934583435,-0.289325923437536,-0.289326292645141,-14510.7522075369,29033.5044150737,29075.4275959977
22,0.274036498684268,0.370141435365784,-0.592315475386623,0.652112509241062,-0.338174297988831,-0.338183670272286,-14094.999589534,28201.9991790679,28243.9223599919
23,0.180434412757712,0.692159907891324,-0.703917973634726,0.596399062773436,-0.341140238542235,-0.374409077800791,-15432.8520041263,30877.7040082526,30919.6271891766
24,0.223846961533634,0.378019437257761,-0.661152944304432,0.720306958603056,-0.307882262773675,-0.307884986725963,-14498.0727148291,29008.1454296583,29050.0686105822
25,0.250341337577572,0.437804492934762,-0.611721128014347,0.609749021644183,-0.326001824471716,-0.325988498886297,-14143.5022029811,28299.0044059623,28340.9275868862
