stock,pi1,pi2,mu1,mu2,sigma1,sigma2
1,0.9382821634058364,0.061717836594163626,0.08314985631108608,-0.6942664087854626,2.0922669828971516,9.215555616839293
2,0.7946692024466567,0.20533079755334327,0.06294590116563749,-0.15013063277113034,1.3142621559070022,4.173406905699025
3,0.104890904859696,0.895109095140304,-0.3464448250966799,0.057953908191001,4.969814798877721,1.4462552834913502
4,0.7885477599079925,0.21145224009200742,0.06417468008285983,-0.0977138466575943,1.3858143893487058,3.5106158439646444
5,0.9070310851137545,0.09296891488624545,0.05358157097301507,-0.27017956035727336,1.2243659657923294,3.858688808908056
6,0.8313325515434897,0.16866744845651024,0.027452554042839212,-0.00048331010432316115,1.2498084384375432,3.6413585321033164
7,0.19365715246752774,0.8063428475324722,-0.07503297859539898,0.0806293674519573,3.757447506024525,1.2694115459958624
8,0.8038147487663784,0.19618525123362163,0.042423775747186455,-0.09264222683419954,1.0909222913745713,3.2690942039477484
9,0.15348790769883885,0.8465120923011612,-0.29038162764032227,0.08269646622286683,4.763526225109578,1.6729312232103999
10,0.28669945875028435,0.7133005412497156,0.01129561852905469,0.04890698440816629,2.181392716553864,0.8174539857186652
11,0.1858528162053604,0.8141471837946397,-0.046578274605544596,0.036238443955636815,4.641069929317118,1.4047463099599171
12,0.22976954934855442,0.7702304506514455,-0.012917546228881258,0.04142548900530846,2.4688040175224972,0.8793548558602041
13,0.8228571536760181,0.17714284632398197,0.04233492809058633,0.016357842066541516,1.0393307402832517,2.864026999980939
14,0.8158707536485216,0.18412924635147845,0.06301162787583005,-0.12984122499908396,0.965873736341527,2.7660703112084164
15,0.09990645763875854,0.9000935423612415,-0.3269837779939179,0.05986048942000082,3.908724441492955,1.2420659236696294
16,0.20284432855286633,0.7971556714471337,0.03434742092153179,0.0695525463228158,3.5881060986349302,1.331867987936041
17,0.22196739201780427,0.7780326079821956,0.08204060066576173,0.03802417798078466,3.6639038717794548,1.2542941685071924
18,0.7537830968722105,0.2462169031277896,0.03165743865117549,0.031982112514801854,1.1161524339012459,2.773743362765282
19,0.12879765715906613,0.8712023428409338,-0.08740830777647336,0.051722061037297304,3.1837724448643,0.955551236316826
20,0.06135236322532102,0.938647636774679,-0.5951783807335013,0.06263472618495101,5.98564668269841,1.3148826729116623
21,0.875666164592287,0.12433383540771303,0.04685545334291824,-0.1295668031024239,1.1258222331854657,3.9640099894427068
22,0.7624211964532893,0.23757880354671065,0.02458744522000925,-0.013497792914378573,0.9901204072292492,2.5783308718853597
23,0.8219559393222939,0.17804406067770598,0.030208088168511504,-0.0028580390791835154,1.2499179412753938,3.3582882387601414
24,0.7855570187703776,0.21444298122962235,0.021365639466140927,0.07000195232335762,1.0427597003095983,2.8802577885021545
25,0.09169620358889578,0.9083037964111043,-0.22316321581490142,0.04563300803370816,3.5669845325713414,1.1641374283844754
