stock,pi1,pi2,mu1,mu2,sigma1,sigma2
1,0.9382821634058364,0.061717836594163626,0.08314985631108608,-0.6942664087854626,2.0922669828971516,9.215555616839293
2,0.7946692024466567,0.20533079755334327,0.06294590116563749,-0.15013063277113034,1.3142621559070022,4.173406905699025
3,0.104890904859696,0.895109095140304,-0.3464448250966799,0.057953908191001,4.969814798877721,1.4462552834913502
4,0.7885477599079925,0.21145224009200742,0.06417468008285983,-0.0977138466575943,1.3858143893487058,3.5106158439646444
5,0.9043809886851637,0.09561901131483636,0.054050999780369494,-0.2656464060924236,1.2202748377101937,3.822690666386628
6,0.818557077755456,0.18144292224454397,0.02511704658425833,0.012020016189510504,1.231715513128019,3.555120612342983
7,0.19365715246752774,0.8063428475324722,-0.07503297859539898,0.0806293674519573,3.757447506024525,1.2694115459958624
8,0.21585817982590602,0.7841418201740941,-0.06911140278097466,0.03933482300472708,3.165509116275631,1.0660494412952763
9,0.8724060198328245,0.12759398016717544,0.07701938281861777,-0.3272778462786657,1.7214277003569516,5.059819144328463
10,0.28669945875028435,0.7133005412497156,0.01129561852905469,0.04890698440816629,2.181392716553864,0.8174539857186652
11,0.15346004629369295,0.846539953706307,-0.03518434459799817,0.031003988196973076,4.965814669128084,1.46867737677676
12,0.24548797682752457,0.7545120231724755,-0.018907270483587518,0.04450641054925425,2.41577795387652,0.863930953817397
13,0.7870367007928276,0.21296329920717247,0.039726473729410634,0.030367111793589606,1.0022489767764036,2.6990420722999406
14,0.8470703845306992,0.15292961546930078,0.061056098383918525,-0.1583541241665641,0.9993848722759036,2.9415511196967237
15,0.07554635006743807,0.924453649932562,-0.4505482420516242,0.059764515208682194,4.290483189273275,1.2820906976171604
16,0.20284432855286633,0.7971556714471337,0.03434742092153179,0.0695525463228158,3.5881060986349302,1.331867987936041
17,0.1857621420832393,0.8142378579167606,0.1002907359591803,0.035817748221456766,3.8879456450017322,1.3091394528353852
18,0.30468300105109986,0.6953169989489001,0.03470018858100918,0.030439096530787815,2.600605429779772,1.0542103658594109
19,0.12879765715906613,0.8712023428409338,-0.08740830777647336,0.051722061037297304,3.1837724448643,0.955551236316826
20,0.9224063483664277,0.07759365163357236,0.06489160227944907,-0.4843191110632089,1.2761056925904042,5.470640728888977
21,0.8760139012090337,0.1239860987909663,0.046836879861619794,-0.12993037491574394,1.1263968401869144,3.9679599290365264
22,0.7624211964532893,0.23757880354671065,0.02458744522000925,-0.013497792914378573,0.9901204072292492,2.5783308718853597
23,0.19075115873787624,0.8092488412621238,0.024930326475472088,0.02417720105600845,3.285392484872362,1.2345391577414702
24,0.7855570187703776,0.21444298122962235,0.021365639466140927,0.07000195232335762,1.0427597003095983,2.8802577885021545
25,0.9105476428857177,0.08945235711428234,0.045739813161532604,-0.2309929548989826,1.1673832451097959,3.5956987996104894
