stock,estimated-var,empirical-var
1,7.687893599713155,7.460909595509617
2,6.422672514831804,6.033780936051005
3,5.82775414617232,5.821528465112555
4,5.902832964202858,5.680408769439981
5,4.350167571104442,4.167985044887263
6,5.399676737521609,5.013481919836497
7,5.416066333911377,5.45530787598142
8,5.448931715650487,5.002146995149504
9,6.996976152106507,6.846430997702966
10,3.9315176568040595,3.6742151568336774
11,6.834904020401075,6.4481797752537755
12,4.131945928180345,3.868649313877931
13,4.266029030741601,4.097423595642371
14,4.51706603220864,4.284171319996634
15,5.346426896395286,4.653997333864646
16,5.572496284720591,5.550478261298581
17,5.773407397620421,5.482488696110774
18,4.874636250115356,4.6245921619935615
19,3.727308779603379,3.669651086293044
20,4.636252953479478,4.69234157567849
21,5.015895315526634,4.844265009388094
22,4.271828315766915,4.2739064702384955
23,5.184852962307064,4.913907211142552
24,4.477606535663419,4.402327820631034
25,4.366718815526318,4.304999849986014
