stock,estimated-var,empirical-var
1,7.4506947053412755,7.460909595509617
2,6.422672514831804,6.033780936051005
3,5.82775414617232,5.821528465112555
4,5.930811028240299,5.680408769439981
5,4.350167571104442,4.167985044887263
6,5.391479362684773,5.013481919836497
7,5.416066333911377,5.45530787598142
8,5.316356977894144,5.002146995149504
9,6.996976152106507,6.846430997702966
10,3.76670580994393,3.6742151568336774
11,6.834904020401075,6.4481797752537755
12,4.097031592993379,3.868649313877931
13,4.266029030741601,4.097423595642371
14,4.5198267442837645,4.284171319996634
15,5.346426896395286,4.653997333864646
16,5.572496284720591,5.550478261298581
17,5.773407397620421,5.482488696110774
18,4.918783807930817,4.6245921619935615
19,3.7996600059989967,3.669651086293044
20,4.7781311852022395,4.69234157567849
21,4.987432371202645,4.844265009388094
22,4.271828315766915,4.2739064702384955
23,5.184852962307064,4.913907211142552
24,4.477606535663419,4.402327820631034
25,4.2384054407063045,4.304999849986014
