stock,estimated-var,empirical-var
1,-8.687548329724681,-7.530826337867793
2,-6.8959031815509535,-6.073413168811085
3,-6.526329990278705,-5.832174488753282
4,-6.751765405633561,-5.722647655123482
5,-5.32928127661211,-4.180309061409163
6,-5.968638741421257,-5.029871487915829
7,-5.971818152092616,-5.45721643417416
8,-5.6040268386557,-5.010826688632034
9,-7.942645814788809,-6.847456571094525
10,-4.313223653135793,-3.6972728766906124
11,-5.968851375011908,-6.454695532208536
12,-4.5453751428925155,-3.897427429127151
13,-5.968443134305504,-4.129769537923763
14,-4.751920576641905,-4.305951825504438
15,-5.470180226832807,-4.666283939639812
16,-6.316803657118271,-5.569308332969271
17,-5.9696176345262835,-5.51506441753354
18,-5.6116993567203455,-4.651532994836782
19,-4.340115893637392,-3.6735517803652917
20,-5.975156086633106,-4.698956254790831
21,-5.969088383846642,-4.85981780119599
22,-5.047953616972584,-4.299304270150516
23,-5.96851825148937,-4.931319588537756
24,-5.968322564607639,-4.426207748611691
25,-5.968369663775328,-4.305951825504448
