stock,estimated-var,empirical-var
1,-7.398779004411099,-7.530826337867793
2,-6.349233873807019,-6.073413168811085
3,-5.717768562635955,-5.832174488753282
4,-5.616448459030922,-5.722647655123482
5,-4.46588078407278,-4.180309061409163
6,-5.080987789808632,-5.029871487915829
7,-5.3647010627041505,-5.45721643417416
8,-4.831519157751025,-5.010826688632034
9,-6.742006503445465,-6.847456571094525
10,-3.729478991121092,-3.6972728766906124
11,-6.488757521592851,-6.454695532208536
12,-3.869503253142217,-3.897427429127151
13,-4.118958111492567,-4.129769537923763
14,-4.1470417377684665,-4.305951825504438
15,-4.648289774400791,-4.666283939639812
16,-5.5142926835620365,-5.569308332969271
17,-5.556717210098835,-5.51506441753354
18,-4.610481579310705,-4.651532994836782
19,-3.6802165898012906,-3.6735517803652917
20,-4.6388817556419415,-4.698956254790831
21,-4.734623347728405,-4.85981780119599
22,-4.14747222202682,-4.299304270150516
23,-4.914628098868661,-4.931319588537756
24,-4.393486613394722,-4.426207748611691
25,-4.206197467698352,-4.305951825504448
