stock,estimated-var,empirical-var
1,-9.704911648776704,-7.530826337867793
2,-7.011734659363215,-6.073413168811085
3,-6.8579287191705625,-5.832174488753282
4,-5.983674879140224,-5.722647655123482
5,-4.909385358199707,-4.180309061409163
6,-5.684200504730213,-5.029871487915829
7,-6.207346513284276,-5.45721643417416
8,-5.436320702470424,-5.010826688632034
9,-7.4798580319851995,-6.847456571094525
10,-3.9234253448347483,-3.6972728766906124
11,-7.499141229584229,-6.454695532208536
12,-4.260169284704539,-3.897427429127151
13,-4.5122546305228095,-4.129769537923763
14,-4.557883182608546,-4.305951825504438
15,-5.3355348743305875,-4.666283939639812
16,-5.89246767185588,-5.569308332969271
17,-6.151552102060345,-5.51506441753354
18,-4.7725413439568936,-4.651532994836782
19,-4.597639556965182,-3.6735517803652917
20,-6.474592479214206,-4.698956254790831
21,-5.67421442770164,-4.85981780119599
22,-4.466325338249443,-4.299304270150516
23,-5.338781904297669,-4.931319588537756
24,-4.765027030592464,-4.426207748611691
25,-4.710333094721236,-4.305951825504448
