stock,estimated-var,empirical-var
1,-8.957606175270113,-7.530826337867793
2,-6.2214477219634166,-6.073413168811085
3,-6.043683117438338,-5.832174488753282
4,-5.952811007524995,-5.722647655123482
5,-5.1761711686762,-4.180309061409163
6,-5.197115439399842,-5.029871487915829
7,-5.729946109581979,-5.45721643417416
8,-4.927364510374655,-5.010826688632034
9,-6.99478383439477,-6.847456571094525
10,-3.688639744604507,-3.6972728766906124
11,-6.425324612822339,-6.454695532208536
12,-3.9590396815497173,-3.897427429127151
13,-4.369856921566517,-4.129769537923763
14,-4.174099916301003,-4.305951825504438
15,-4.835037336693745,-4.666283939639812
16,-5.553486599739455,-5.569308332969271
17,-5.736455625188216,-5.51506441753354
18,-4.788237015871178,-4.651532994836782
19,-3.809968365496637,-3.6735517803652917
20,-6.575826280091774,-4.698956254790831
21,-4.836515261338145,-4.85981780119599
22,-4.474669195713106,-4.299304270150516
23,-5.051764577569236,-4.931319588537756
24,-4.723459186198282,-4.426207748611691
25,-4.517122411194054,-4.305951825504448
